BP2408	iML1515.b3943	44.4	279	151	4	10	286	14	290	2.20e-71	222
BP2409	iSynCJ816.SGL_RS15030	54.0	659	290	5	1	655	1	650	4.62e-253	712
BP2409	iIT341.HP1045	50.0	648	314	6	13	655	12	654	3.33e-230	654
BP2409	iJN1463.PP_4702	52.8	646	289	10	13	655	5	637	3.59e-230	653
BP2409	iML1515.b4069	53.0	628	280	9	33	655	24	641	9.51e-230	652
BP2409	iSSON_1240.SSON_4250	53.0	628	280	9	33	655	24	641	9.51e-230	652
BP2409	iCN718.ABAYE_RS01415	51.6	649	298	9	12	655	2	639	3.68e-226	643
BP2409	iYL1228.KPN_04478	51.6	645	296	10	16	655	8	641	2.33e-225	641
BP2407	iAF987.Gmet_0270	60.4	333	125	4	1	330	3	331	6.78e-127	366
BP2407	iYL1228.KPN_00903	57.6	328	135	3	1	328	1	324	2.41e-123	357
BP2407	STM_v1_0.STM0934	57.9	328	134	3	1	328	1	324	2.78e-122	354
BP2407	iSF_1195.SF0825	56.3	327	139	3	1	327	1	323	6.44e-121	351
BP2407	iML1515.b0870	56.3	327	139	3	1	327	1	323	9.12e-121	350
BP2407	iSDY_1059.SDY_2393	56.0	327	140	3	1	327	1	323	2.60e-120	349
BP2407	iSSON_1240.SSON_0856	56.0	327	140	3	1	327	1	323	3.69e-120	349
BP2407	iSbBS512_1146.SbBS512_E2461	56.0	327	140	3	1	327	1	323	1.49e-119	347
BP2407	iPC815.YPO1357	56.1	330	139	4	1	328	2	327	4.21e-118	344
BP2404	iJN1463.PP_0501	25.9	263	159	10	5	235	7	265	2.92e-10	59.7
BP3736	iSynCJ816.SGL_RS10200	29.8	198	119	4	9	204	46	225	8.93e-17	79.7
BP3735	iJN1463.PP_0110	50.5	293	145	0	1	293	1	293	6.29e-89	266
BP3734	iIS312.TCDM_05651	38.8	139	79	3	44	177	98	235	2.44e-29	109
BP2403	iJN1463.PP_4203	60.5	549	210	5	1	542	12	560	2.38e-236	661
BP2403	iCHOv1.100763190	56.5	552	227	6	2	542	68	617	9.74e-223	629
BP2403	iMM1415.66841	56.3	552	228	6	2	542	67	616	1.54e-221	625
BP2403	iAT_PLT_636.2110	55.3	552	234	6	2	542	68	617	2.42e-218	617
BP2400	iCN718.ABAYE_RS09815	72.5	207	53	2	1	207	1	203	1.97e-103	297
BP2400	iEK1008.Rv2503c	67.3	205	63	2	3	207	6	206	5.45e-95	276
BP2400	iAF987.Gmet_3297	66.0	215	69	2	1	215	1	211	1.48e-92	270
BP3730	iJN1463.PP_5411	56.5	455	191	3	2	455	3	451	1.46e-172	491
BP3730	iPC815.YPO4119	54.2	456	202	4	2	456	6	455	8.68e-162	464
BP3730	iSDY_1059.SDY_4018	54.2	456	202	4	2	456	6	455	7.03e-161	462
BP3730	iML1515.b3730	53.9	456	203	4	2	456	6	455	2.00e-160	461
BP3730	iCN718.ABAYE_RS00995	51.1	454	215	4	3	455	4	451	5.33e-160	459
BP3730	iSF_1195.SF3810	53.7	456	204	4	2	456	6	455	5.70e-160	459
BP3730	iSSON_1240.SSON_3889	53.7	456	204	4	2	456	6	455	8.08e-160	459
BP3730	iSbBS512_1146.SbBS512_E4191	53.5	456	205	4	2	456	6	455	1.86e-158	456
BP3730	STM_v1_0.STM3862	52.6	456	209	4	2	456	6	455	7.52e-158	454
BP3730	iYL1228.KPN_04135	53.1	456	207	4	2	456	1	450	8.36e-156	449
BP2417	iJN1463.PP_4667	65.4	491	167	1	1	488	18	508	1.36e-237	660
BP2417	iCN718.ABAYE_RS18710	62.5	491	181	1	1	488	15	505	1.13e-228	637
BP2418	iAF987.Gmet_1823	25.0	236	163	6	16	246	16	242	2.46e-06	48.9
BP3747	iML1515.b3032	40.8	260	150	3	7	262	8	267	9.19e-54	175
BP3746	iSynCJ816.SGL_RS08850	29.9	458	279	12	28	474	40	466	3.43e-42	161
BP2413	iML1515.b1655	40.8	120	68	2	91	207	145	264	1.39e-25	100
BP2413	iML1515.b2175	34.0	188	108	5	21	207	12	184	4.52e-26	99.4
BP3745	STM_v1_0.STM3039	34.6	78	44	4	114	187	17	91	1.25e-04	41.6
BP3745	iSF_1195.SF2875	38.8	49	30	0	139	187	43	91	1.70e-04	41.2
BP3745	iML1515.b2889	38.8	49	30	0	139	187	43	91	2.30e-04	40.8
BP3745	iSDY_1059.SDY_3193	38.8	49	30	0	139	187	43	91	2.30e-04	40.8
BP3745	iSSON_1240.SSON_3042	38.8	49	30	0	139	187	43	91	2.30e-04	40.8
BP3745	iYL1228.KPN_03317	28.0	100	68	2	139	238	43	138	3.16e-04	40.4
BP3745	iSbBS512_1146.SbBS512_E3308	38.8	49	30	0	139	187	43	91	3.11e-04	40.4
BP3744	iJN1463.PP_0103	54.9	348	151	3	42	389	26	367	5.17e-139	400
BP2411	STM_v1_0.STM2050	27.2	136	95	2	2	133	195	330	1.23e-06	45.8
BP3743	iJN1463.PP_0104	68.3	536	162	4	1	535	1	529	7.02e-274	754
BP3740	iJN1463.PP_0106	49.0	288	135	3	14	289	6	293	3.40e-94	280
BP3759	iJN1463.PP_0960	46.5	159	84	1	1	158	1	159	8.06e-40	132
BP2426	iJN1463.PP_4423	27.5	280	197	3	1	277	51	327	7.67e-25	101
BP3758	iJN1463.PP_0959	57.3	232	98	1	30	261	35	265	8.87e-85	253
BP3757	iJN1463.PP_0958	48.5	262	134	1	9	270	5	265	9.55e-82	246
BP3756	iJN1463.PP_1418	26.5	298	195	10	38	320	32	320	1.13e-12	67.4
BP2425	iJN1463.PP_1418	30.2	242	153	9	9	240	13	248	6.09e-15	73.9
BP3754	iHN637.CLJU_RS08535	51.8	488	220	5	1	486	1	475	2.73e-181	516
BP3754	iEK1008.Rv3858c	53.5	495	204	8	1	487	1	477	2.63e-174	498
BP3754	iSynCJ816.SGL_RS02895	50.6	506	219	8	1	487	1	494	1.39e-170	489
BP3753	iSynCJ816.SGL_RS04160	53.1	1567	661	17	16	1571	19	1522	0.0	1587
BP3753	iHN637.CLJU_RS08530	52.3	1557	666	13	23	1565	5	1499	0.0	1584
BP3753	iEK1008.Rv3859c	51.3	1568	670	17	26	1565	3	1504	0.0	1490
BP3753	iYO844.BSU18450	49.9	1555	689	18	25	1568	6	1481	0.0	1469
BP2420	iJN1463.PP_0982	29.2	346	230	2	11	349	10	347	2.64e-33	127
BP2421	iJN1463.PP_0980	53.3	503	224	8	1	499	1	496	1.60e-165	477
BP2421	iML1515.b4260	48.5	501	253	4	1	499	1	498	1.50e-154	449
BP2421	iSF_1195.SF4229	48.5	501	253	4	1	499	1	498	1.50e-154	449
BP2421	iSSON_1240.SSON_4445	48.5	501	253	4	1	499	1	498	1.50e-154	449
BP2421	iPC815.YPO3441	48.9	501	251	4	1	499	1	498	1.50e-154	449
BP2421	iYL1228.KPN_04665	48.5	501	253	4	1	499	1	498	2.12e-154	449
BP2421	iSDY_1059.SDY_4284	48.5	501	253	4	1	499	1	498	2.12e-154	449
BP2421	STM_v1_0.STM4477	48.1	501	255	4	1	499	1	498	4.26e-154	448
BP2421	iSbBS512_1146.SbBS512_E4821	48.3	501	254	4	1	499	1	498	3.43e-153	446
BP3751	iPC815.YPO1502	64.0	367	131	1	1	366	2	368	1.12e-180	505
BP3751	iYL1228.KPN_01952	64.0	367	131	1	1	366	1	367	2.53e-178	499
BP3751	STM_v1_0.STM1627	63.8	367	132	1	1	366	1	367	2.07e-177	497
BP3751	iJN1463.PP_1616	62.7	367	136	1	1	366	3	369	2.54e-173	486
BP3751	iAT_PLT_636.128	61.3	367	141	1	1	366	6	372	1.26e-169	477
BP3751	iCN718.ABAYE_RS09595	60.8	367	143	1	1	366	1	367	1.50e-169	477
BP3751	iCHOv1.100767929	61.0	367	142	1	1	366	6	372	7.25e-169	475
BP3751	iMM1415.11532	59.9	367	146	1	1	366	6	372	1.19e-167	472
BP3751	iML1515.b0356	58.8	369	151	1	1	368	1	369	1.09e-164	464
BP3751	iSbBS512_1146.SbBS512_E0271	58.5	369	152	1	1	368	1	369	3.12e-164	463
BP3751	iSSON_1240.SSON_0335	58.5	369	152	1	1	368	1	369	3.12e-164	463
BP3751	iSynCJ816.SGL_RS04900	58.8	369	151	1	1	368	1	369	1.27e-163	462
BP3750	iCHOv1.100774799	52.5	280	131	2	4	282	3	281	2.69e-110	320
BP3750	iJN1463.PP_1617	55.2	281	123	3	4	282	3	282	4.09e-110	319
BP3750	iMM1415.13885	52.5	280	131	2	4	282	16	294	8.40e-110	319
BP3750	iAT_PLT_636.2098	51.6	283	129	3	4	282	3	281	4.41e-109	317
BP3750	iML1515.b2154	52.9	278	129	2	4	281	1	276	5.14e-107	311
BP3750	iSbBS512_1146.SbBS512_E0812	52.9	278	129	2	4	281	1	276	5.14e-107	311
BP3750	iSSON_1240.SSON_2210	52.9	278	129	2	4	281	1	276	5.14e-107	311
BP3750	iSDY_1059.SDY_2112	52.9	278	129	2	4	281	1	276	1.19e-105	308
BP3750	iYL1228.KPN_02592	52.5	278	129	3	4	281	1	275	2.18e-103	302
BP3750	iPC815.YPO1501	51.8	278	130	3	4	281	5	278	9.14e-101	295
BP3750	iSSON_1240.SSON_0334	49.8	279	136	4	4	282	1	275	6.29e-98	288
BP1108	iCN900.CD630_19470	42.9	219	125	0	10	228	9	227	3.21e-63	196
BP2439	iPC815.YPO1601	60.1	411	161	2	2	409	3	413	3.25e-185	520
